id,year,cob_bf,p_ab_lp,ubs_p_100_h
1100254,2016,65.96,55.38,"0,18"
1100254,2017,61.27,50.3,"0,27"
1100254,2018,,,"0,31"
1100254,2019,,,"0,32"
1100254,2020,,,"0,38"
1100262,2010,,,
1100262,2011,,,
1100262,2012,,,
1100262,2013,,,
1100262,2014,,,
1100262,2015,74.61,83.84,"0,27"
1100262,2016,77.36,80.66,"0,26"
1100262,2017,65.11,68.84,"0,26"
1100262,2018,,,"0,27"
1100262,2019,,,"0,27"
1100262,2020,,,"0,26"
1100288,2010,,,
1100288,2011,,,
1100288,2012,,,
1100288,2013,,,
1100288,2014,,,
1100288,2015,51.79,49.82,"0,21"
1100288,2016,48.04,54,"0,21"
1100288,2017,43.63,48.81,"0,21"
1100288,2018,,,"0,15"
1100288,2019,,,"0,15"
1100288,2020,,,"0,18"
1100296,2010,,,
1100296,2011,,,
1100296,2012,,,
1100296,2013,,,
1100296,2014,,,
1100296,2015,59.82,65.78,"0,23"
1100296,2016,57.54,52.08,"0,24"
1100296,2017,52.13,47.87,"0,24"
1100296,2018,,,"0,30"
1100296,2019,,,"0,31"
1100296,2020,,,"0,32"
1100304,2010,,,
1100304,2011,,,
1100304,2012,,,
1100304,2013,,,
1100304,2014,,,
1100304,2015,60.49,59,"0,11"
1100304,2016,50.19,51.54,"0,09"
1100304,2017,54.36,52.28,"0,07"
1100304,2018,,,"0,07"
1100304,2019,,,"0,07"
1100304,2020,,,"0,07"
1100320,2010,,,
1100320,2011,,,
1100320,2012,,,
1100320,2013,,,
1100320,2014,,,
1100320,2015,57.42,74.34,"0,13"
1100320,2016,59.24,61.39,"0,13"
1100320,2017,50.51,55.69,"0,12"
1100320,2018,,,"0,13"
1100320,2019,,,"0,09"
1100320,2020,,,"0,09"
1100338,2010,,,
1100338,2011,,,
1100338,2012,,,
1100338,2013,,,
1100338,2014,,,
1100338,2015,75.81,78.42,"0,07"
1100338,2016,60.99,70.3,"0,11"
1100338,2017,57.24,67.82,"0,10"
1100338,2018,,,"0,10"
1100338,2019,,,"0,10"
1100338,2020,,,"0,10"
1100346,2010,,,
1100346,2011,,,
1100346,2012,,,
1100346,2013,,,
1100346,2014,,,
1100346,2015,74.85,80.7,"0,23"
1100346,2016,66.86,67.54,"0,24"
1100346,2017,65.85,67.78,"0,24"
1100346,2018,,,"0,27"
1100346,2019,,,"0,42"
1100346,2020,,,"0,50"
1100379,2010,,,
1100379,2011,,,
1100379,2012,,,
1100379,2013,,,
1100379,2014,,,
1100379,2015,70.38,75.92,"0,36"
1100379,2016,64.07,72.52,"0,36"
1100379,2017,69.14,69.22,"0,36"
1100379,2018,,,"0,45"
1100379,2019,,,"0,45"
1100379,2020,,,"0,45"
1100403,2010,,,
1100403,2011,,,
1100403,2012,,,
1100403,2013,,,
1100403,2014,,,
1100403,2015,70.81,72.15,"0,30"
1100403,2016,59.38,63.98,"0,29"
1100403,2017,58.07,60.54,"0,24"
1100403,2018,,,"0,24"
1100403,2019,,,"0,19"
1100403,2020,,,"0,18"
1100452,2010,,,
1100452,2011,,,
1100452,2012,,,
1100452,2013,,,
1100452,2014,,,
1100452,2015,76.78,84.48,"0,11"
